when,where,who
https://mbdiaries.itatti.harvard.edu/annotation/fed52881-eeac-46ed-8db3-a9d5e126f07a/body,https://mbdiaries.itatti.harvard.edu/annotation/05c73bf9-1024-44f4-aca0-91f9c1fbfb2f/body,57_event_9d9fd8f5-c9f2-d6c4-f8d9-d7e39d6f4f9d.trig
https://mbdiaries.itatti.harvard.edu/annotation/None/body,https://mbdiaries.itatti.harvard.edu/annotation/bd7e69ed-5f4f-4907-9731-ddf5cd83bba9/body,54_event_3e7a7f1a-5d8f-4d9f-9c7e-a0d6f5c9d9c1.trig
https://mbdiaries.itatti.harvard.edu/annotation/a8e044ca-8004-459e-a5b2-e6d8128cc382/body,https://mbdiaries.itatti.harvard.edu/annotation/1ea57c04-edab-4db6-bb8d-94e862fca1e1/body,16_event_3e7a7f1a-5a9a-4a81-9f0d-2d3e5f9d7e3b.trig
https://mbdiaries.itatti.harvard.edu/annotation/49dee9bf-730a-4506-907e-be873f7203db/body,https://mbdiaries.itatti.harvard.edu/annotation/e3df3100-eaaf-4799-8d04-03e709a53913/body,5_event_e8d4a51c-c63d-4ed8-bc94-019975ad4322.trig
https://mbdiaries.itatti.harvard.edu/annotation/17734261-d5b1-4f07-833f-4ff746f8d07c/body,https://mbdiaries.itatti.harvard.edu/annotation/936cfd54-a47c-4d0d-9b39-b9d9b37e2406/body,78_event_e7b2a0c7-f9d6-4f9f-9f2b-d8f9d5b1d2c4.trig
https://mbdiaries.itatti.harvard.edu/annotation/d3005bef-3dfe-48d9-9d53-0841db3fd7d2/body,https://mbdiaries.itatti.harvard.edu/annotation/c24d9c5e-f982-4ca2-9c75-e3ded86f6c42/body,219_event_d8d6c7b4-f0c3-4f8a-9d7d-4fec7f9d7e1a.trig
https://mbdiaries.itatti.harvard.edu/annotation/5a4986c3-a176-44c9-930c-a1e8087a0877/body,https://mbdiaries.itatti.harvard.edu/annotation/a6b07fb3-5590-48df-98a7-37278691ea9b/body,151_event_d8c7e7a1-f9c8-4f9e-9f3f-6c8e6a6d6d1b.trig
https://mbdiaries.itatti.harvard.edu/annotation/b397b8fc-9d77-4c0e-950b-16d5894c4f4c/body,https://mbdiaries.itatti.harvard.edu/annotation/26cb307e-a832-4aef-a712-75f992880a3b/body,138_event_d7a1e4b9-f8d4-4f9f-9f7d-c8f2b9f6d9c2.trig
https://mbdiaries.itatti.harvard.edu/annotation/6be2a946-1e55-4080-93f8-7200b6903ea5/body,https://mbdiaries.itatti.harvard.edu/annotation/789c2262-09a7-445f-bc06-0104698c3f15/body,33_event_f8e1a9c2-9d6f-4a6f-9f6b-d7c6f8c84f9e.trig
https://mbdiaries.itatti.harvard.edu/annotation/bb98b816-5ed8-4d2e-8662-084c5bf59204/body,https://mbdiaries.itatti.harvard.edu/annotation/7c6ad25a-c179-43f4-92a5-665b70091a38/body,73_event_a0f3d9f6-f9d4-4d9f-9f4f-c1f9d3b5d9a3.trig
