page,value,wikidata_url,geonames_url
4,Ancona,https://www.wikidata.org/wiki/Q3415,https://www.geonames.org/3183089
5,Doney's,https://www.wikidata.org/wiki/,https://www.geonames.org/
5,"12 Lungarno Acciajuoli, Florence",https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
5,Pistoia,https://www.wikidata.org/wiki/Q13376,https://www.geonames.org/3170621
6,Pistoia,https://www.wikidata.org/wiki/Q13376,https://www.geonames.org/3170621
7,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
9,"Il Palmerino, Maiano",https://www.wikidata.org/wiki/,https://www.geonames.org/3174745
9,"Il Palmerino, Maiano",https://www.wikidata.org/wiki/,https://www.geonames.org/3174745
10,"12 Lungarno Acciajuoli, Florence",https://www.wikidata.org/wiki/,https://www.geonames.org/3176959
10,"Il Palmerino, Maiano",https://www.wikidata.org/wiki/,https://www.geonames.org/
10,Uffizi,https://www.wikidata.org/wiki/Q51252,https://www.geonames.org/6295660
11,Bargello,https://www.wikidata.org/wiki/Q15076422,https://www.geonames.org/10278901
11,Alinari's,https://www.wikidata.org/wiki/Q3612312,https://www.geonames.org/8983259
11,Cesare's,https://www.wikidata.org/wiki/,https://www.geonames.org/3176959
11,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
12,San Miniato,https://www.wikidata.org/wiki/Q844337,https://www.geonames.org/3167953
12,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
12,Marucelliana Library,https://www.wikidata.org/wiki/Q3847525,https://www.geonames.org/10395465
12,Marucelliana,https://www.wikidata.org/wiki/Q3847525,https://www.geonames.org/10395465
12,Certosa,https://www.wikidata.org/wiki/Q1972559,https://www.geonames.org/6542159
12,Marucelliana,https://www.wikidata.org/wiki/Q3847525,https://www.geonames.org/10395465
13,Academy,https://www.wikidata.org/wiki/Q162633,https://www.geonames.org/6691855
13,Ognissanti,https://www.wikidata.org/wiki/Q2778991,https://www.geonames.org/3172094
14,Viareggio,https://www.wikidata.org/wiki/Q30031688,https://www.geonames.org/3164433
14,Viareggio,https://www.wikidata.org/wiki/Q30031688,https://www.geonames.org/3164433
14,"12 Lungarno Acciajuoli, Florence",https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
14,Viareggio,https://www.wikidata.org/wiki/Q30031688,https://www.geonames.org/3164433
15,"12 Lungarno Acciajuoli, Florence",https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
15,Viareggio,https://www.wikidata.org/wiki/Q30031688,https://www.geonames.org/3164433
16,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
16,Doney's,https://www.wikidata.org/wiki/Q1114368,https://www.geonames.org/5292958
16,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
17,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
17,Bellosguardo,https://www.wikidata.org/wiki/Q3637821,https://www.geonames.org/3182211
17,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
18,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
19,Santo Spirito,https://www.wikidata.org/wiki/Q1519975,https://www.geonames.org/6542279
19,Ognissanti,https://www.wikidata.org/wiki/Q2778991,https://www.geonames.org/3172094
20,Brancacci Chapel,https://www.wikidata.org/wiki/Q1996075,https://www.geonames.org/6691198
20,Bargello,https://www.wikidata.org/wiki/Q15076422,https://www.geonames.org/10278901
20,Uffizi,https://www.wikidata.org/wiki/Q51252,https://www.geonames.org/6295660
20,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
20,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
21,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
23,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
23,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
23,Gallery,https://www.wikidata.org/wiki/Q1007870,https://www.geonames.org/6942924
24,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
24,Pazzi Chapel,https://www.wikidata.org/wiki/Q600355,https://www.geonames.org/9175837
24,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
26,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
27,San Miniato,https://www.wikidata.org/wiki/Q103244,https://www.geonames.org/3167953
28,Fiesole hill,https://www.wikidata.org/wiki/Q82378,https://www.geonames.org/3176722
28,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
28,S. Domenico,https://www.wikidata.org/wiki/Q3944859,https://www.geonames.org/3168070
28,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
29,Loeser's,https://www.wikidata.org/wiki/Q123989847,https://www.geonames.org/3176959
29,Florence,https://www.wikidata.org/wiki/Q2044,https://www.geonames.org/3176959
29,Palmerino,https://www.wikidata.org/wiki/Q3892513,https://www.geonames.org/3171475
30,Boboli Gardens,https://www.wikidata.org/wiki/Q888825,https://www.geonames.org/7602824
30,"Il Palmerino, Maiano",https://www.wikidata.org/wiki/Q3795987,https://www.geonames.org/3174244
