identifier,type,same_as,diary,page
https://mbdiaries.itatti.harvard.edu/annotation/5b30ee26-265e-4060-8eb2-9183d8124fa5/body,date,['1893-05-01T00:00:00+00:00'],1894-95,4
https://mbdiaries.itatti.harvard.edu/annotation/affa6c80-3556-41fe-a562-bbf1da506edc/body,place,"['https://www.wikidata.org/wiki/Q3415', 'https://www.geonames.org/3183089']",1894-95,4
https://mbdiaries.itatti.harvard.edu/annotation/b7ec272b-02ec-47bf-b1ff-c8b3fa52d7f9/body,place,"['https://www.wikidata.org/wiki/Q13376', 'https://www.geonames.org/3170621']",1894-95,5
https://mbdiaries.itatti.harvard.edu/annotation/55a33e85-7268-4506-bda1-78e8aa8afa4c/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/']",1894-95,5
https://mbdiaries.itatti.harvard.edu/annotation/e3df3100-eaaf-4799-8d04-03e709a53913/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,5
https://mbdiaries.itatti.harvard.edu/annotation/49dee9bf-730a-4506-907e-be873f7203db/body,date,['1894-02-14T00:00:00+00:00'],1894-95,5
https://mbdiaries.itatti.harvard.edu/annotation/49dee9bf-730a-4506-907e-be873f7203db/body,date,['1894-02-14T00:00:00+00:00'],1894-95,5
https://mbdiaries.itatti.harvard.edu/annotation/2b8b75bc-17bf-40af-b06f-9f696c83951b/body,date,['1900-11-03T00:00:00+00:00'],1894-95,6
https://mbdiaries.itatti.harvard.edu/annotation/83df92ee-222a-403c-b6ad-7b8064c2dda6/body,place,"['https://www.wikidata.org/wiki/Q13376', 'https://www.geonames.org/3170621']",1894-95,6
https://mbdiaries.itatti.harvard.edu/annotation/9d374e76-e472-42d9-b1d4-339667b841a8/body,date,['1894-02-15T00:00:00+00:00'],1894-95,7
https://mbdiaries.itatti.harvard.edu/annotation/38d51d1c-d8b5-49fd-92ec-4ccc8cdea7d5/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,7
https://mbdiaries.itatti.harvard.edu/annotation/0408aa2f-d53d-421b-936b-e12e6836fc73/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/3174745']",1894-95,9
https://mbdiaries.itatti.harvard.edu/annotation/a1a458e6-9d96-4d4f-a2dc-4df551b252ca/body,date,['1894-02-17T00:00:00+00:00'],1894-95,9
https://mbdiaries.itatti.harvard.edu/annotation/29f3818d-b6b2-48bb-b058-8108c6d2b85a/body,date,['1894-02-16T00:00:00+00:00'],1894-95,9
https://mbdiaries.itatti.harvard.edu/annotation/14b3945b-fe6a-43db-9a17-2ff092f37f36/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/3174745']",1894-95,9
https://mbdiaries.itatti.harvard.edu/annotation/62509804-0aaa-48b3-aa02-cf4bb53383db/body,date,['1894-02-19T00:00:00+00:00'],1894-95,10
https://mbdiaries.itatti.harvard.edu/annotation/ddde42f3-1371-42d5-a7fa-dfa0133e3c32/body,place,"['https://www.wikidata.org/wiki/Q51252', 'https://www.geonames.org/6295660']",1894-95,10
https://mbdiaries.itatti.harvard.edu/annotation/62509804-0aaa-48b3-aa02-cf4bb53383db/body,date,['1894-02-19T00:00:00+00:00'],1894-95,10
https://mbdiaries.itatti.harvard.edu/annotation/fc7bf379-515d-4a43-9871-7df6d05ca344/body,date,['1894-02-18T00:00:00+00:00'],1894-95,10
https://mbdiaries.itatti.harvard.edu/annotation/b4792521-bccc-4464-bd84-f6795da5586f/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/']",1894-95,10
https://mbdiaries.itatti.harvard.edu/annotation/2abbb313-b71f-497b-ac8a-03341cf24767/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/3176959']",1894-95,10
